datetime,kitchen_hours,laundry_hours,HVAC_lights_hours,other_hours
2007-06-17,9,23,14,4
2007-06-18,0,17,6,8
2007-06-19,4,17,7,10
2007-06-20,6,19,8,5
2007-06-21,3,19,6,5
2007-06-22,0,17,7,4
2007-06-23,0,16,4,8
2007-06-24,0,16,6,8
2007-06-25,3,18,7,5
2007-06-26,3,19,8,5
2007-06-27,3,19,10,5
2007-06-28,0,21,13,5
2007-06-29,7,16,10,7
2007-06-30,4,15,11,6
2007-07-01,3,18,10,6
2007-07-02,3,17,8,7
2007-07-03,2,20,7,5
2007-07-04,7,21,9,4
2007-07-05,5,14,8,8
2007-07-06,5,18,7,5
2007-07-07,3,17,14,4
2007-07-08,6,20,10,4
2007-07-09,2,14,12,4
2007-07-10,1,18,9,6
2007-07-11,3,18,9,4
2007-07-12,3,18,11,5
2007-07-13,0,17,6,9
2007-07-14,7,18,12,3
2007-07-15,2,15,9,6
2007-07-16,2,18,9,6
2007-07-17,2,16,7,7
2007-07-18,2,16,7,6
2007-07-19,2,20,8,5
2007-07-20,4,19,10,3
2007-07-21,1,12,12,5
2007-07-22,11,6,12,9
2007-07-23,5,10,9,12
2007-07-24,0,3,8,13
2007-07-25,0,8,6,16
2007-07-26,2,6,8,14
2007-07-27,6,6,10,13
2007-07-28,3,10,12,8
2007-07-29,0,0,3,21
2007-07-30,0,0,5,19
2007-07-31,5,0,8,14
2007-08-01,5,0,13,11
2007-08-02,2,0,10,13
2007-08-03,2,0,11,13
2007-08-04,1,2,10,14
2007-08-05,1,0,9,15
2007-08-06,3,0,11,13
2007-08-07,2,5,11,12
2007-08-08,3,10,12,11
2007-08-09,2,12,10,12
2007-08-10,2,16,11,6
2007-08-11,2,13,11,6
2007-08-12,2,3,11,13
2007-08-13,1,9,13,6
2007-08-14,2,3,7,15
2007-08-15,1,10,11,9
2007-08-16,3,0,10,14
2007-08-17,2,0,9,15
2007-08-18,0,0,4,20
2007-08-19,3,9,9,14
2007-08-20,3,19,10,8
2007-08-21,0,4,7,17
2007-08-22,6,4,9,14
2007-08-23,6,11,9,12
2007-08-24,5,21,14,5
2007-08-25,8,21,9,4
2007-08-26,4,21,10,1
2007-08-27,5,20,10,2
2007-08-28,3,19,9,6
2007-08-29,2,20,9,3
2007-08-30,7,20,11,5
2007-08-31,3,22,11,6
2007-09-01,6,19,14,5
2007-09-02,8,20,12,3
2007-09-03,2,20,9,6
2007-09-04,6,19,13,5
2007-09-05,0,23,11,3
2007-09-06,0,20,6,6
2007-09-07,6,15,12,5
2007-09-08,4,18,12,4
2007-09-09,4,17,13,5
2007-09-10,3,20,9,6
2007-09-11,2,17,9,7
2007-09-12,0,19,11,6
2007-09-13,3,20,8,8
2007-09-14,3,19,9,6
2007-09-15,0,17,10,10
2007-09-16,6,19,13,6
2007-09-17,9,18,9,6
2007-09-18,6,19,8,7
2007-09-19,0,18,12,7
2007-09-20,2,15,12,6
2007-09-21,4,17,10,5
2007-09-22,3,22,11,3
2007-09-23,7,20,13,1
2007-09-24,2,17,11,8
2007-09-25,2,19,13,7
2007-09-26,3,20,9,4
2007-09-27,3,18,9,8
2007-09-28,3,19,12,7
2007-09-29,10,17,12,5
2007-09-30,2,16,14,5
2007-10-01,4,20,10,6
2007-10-02,1,20,17,3
2007-10-03,3,20,6,5
2007-10-04,5,24,12,2
2007-10-05,0,22,13,7
2007-10-06,10,23,15,6
2007-10-07,7,24,13,9
2007-10-08,0,24,8,10
2007-10-09,4,22,11,6
2007-10-10,4,22,7,12
2007-10-11,4,22,13,6
2007-10-12,3,23,15,5
2007-10-13,3,22,11,7
2007-10-14,6,23,13,10
2007-10-15,2,23,11,10
2007-10-16,0,23,14,6
2007-10-17,3,23,11,7
2007-10-18,3,24,12,12
2007-10-19,3,21,13,8
2007-10-20,4,19,16,7
2007-10-21,8,22,10,13
2007-10-22,0,20,15,9
2007-10-23,3,22,14,9
2007-10-24,9,22,12,6
2007-10-25,4,20,10,7
2007-10-26,0,22,7,16
2007-10-27,3,23,11,11
2007-10-28,0,21,5,14
2007-10-29,0,19,5,11
2007-10-30,0,22,6,8
2007-10-31,0,21,12,4
2007-11-01,0,20,3,10
2007-11-02,2,22,14,3
2007-11-03,0,21,4,8
2007-11-04,0,21,10,7
2007-11-05,3,20,11,7
2007-11-06,3,21,13,9
2007-11-07,9,17,10,5
2007-11-08,4,19,9,10
2007-11-09,0,20,19,4
2007-11-10,8,21,16,6
2007-11-11,6,19,10,11
2007-11-12,2,19,15,4
2007-11-13,2,20,13,5
2007-11-14,2,19,19,4
2007-11-15,4,18,11,7
2007-11-16,4,21,15,5
2007-11-17,6,19,17,3
2007-11-18,9,17,12,6
2007-11-19,2,15,13,7
2007-11-20,2,21,15,5
2007-11-21,3,18,13,7
2007-11-22,5,17,14,7
2007-11-23,6,20,15,5
2007-11-24,4,21,16,3
2007-11-25,7,19,8,10
2007-11-26,3,19,13,5
2007-11-27,3,21,18,5
2007-11-28,3,19,12,7
2007-11-29,5,18,11,9
2007-11-30,0,21,16,7
2007-12-01,14,21,19,4
2007-12-02,4,22,16,8
2007-12-03,2,18,12,9
2007-12-04,2,22,12,8
2007-12-05,4,20,13,10
2007-12-06,7,19,15,8
2007-12-07,1,19,13,8
2007-12-08,3,18,16,6
2007-12-09,9,18,13,8
2007-12-10,3,19,11,9
2007-12-11,2,17,17,5
2007-12-12,3,14,12,8
2007-12-13,3,18,13,9
2007-12-14,2,17,15,7
2007-12-15,3,21,17,5
2007-12-16,6,15,13,11
2007-12-17,2,12,13,8
2007-12-18,2,17,15,10
2007-12-19,3,16,13,8
2007-12-20,4,16,15,7
2007-12-21,3,8,16,7
2007-12-22,9,18,16,7
2007-12-23,6,14,14,7
2007-12-24,7,15,16,5
2007-12-25,8,15,14,11
2007-12-26,3,17,11,12
2007-12-27,6,13,14,9
2007-12-28,5,20,16,5
2007-12-29,10,16,17,7
2007-12-30,8,18,16,7
2007-12-31,0,16,15,6
2008-01-01,4,15,15,8
2008-01-02,0,14,10,7
2008-01-03,2,16,10,9
2008-01-04,3,17,16,6
2008-01-05,5,13,17,5
2008-01-06,5,15,12,7
2008-01-07,2,14,15,7
2008-01-08,5,16,12,7
2008-01-09,2,13,13,7
2008-01-10,3,14,12,9
2008-01-11,2,14,10,13
2008-01-12,8,18,15,7
2008-01-13,9,11,12,9
2008-01-14,5,12,13,5
2008-01-15,1,17,17,5
2008-01-16,3,16,11,8
2008-01-17,2,12,11,10
2008-01-18,2,14,17,5
2008-01-19,4,17,12,7
2008-01-20,3,14,11,8
2008-01-21,0,12,12,10
2008-01-22,8,18,10,8
2008-01-23,3,12,15,6
2008-01-24,3,8,9,11
2008-01-25,0,10,14,8
2008-01-26,8,12,18,4
2008-01-27,5,17,12,7
2008-01-28,3,12,16,8
2008-01-29,3,15,16,9
2008-01-30,0,10,9,12
2008-01-31,3,10,12,8
2008-02-01,1,10,11,10
2008-02-02,10,14,17,4
2008-02-03,6,17,11,9
2008-02-04,3,10,12,10
2008-02-05,3,16,16,3
2008-02-06,5,16,13,9
2008-02-07,0,13,9,11
2008-02-08,2,12,13,10
2008-02-09,5,13,15,8
2008-02-10,5,15,16,5
2008-02-11,3,10,12,7
2008-02-12,4,13,14,9
2008-02-13,5,14,12,5
2008-02-14,2,11,12,10
2008-02-15,2,16,15,8
2008-02-16,2,14,15,7
2008-02-17,7,14,10,12
2008-02-18,0,8,13,8
2008-02-19,4,16,15,9
2008-02-20,8,14,12,7
2008-02-21,0,8,10,9
2008-02-22,3,15,15,6
2008-02-23,3,15,14,7
2008-02-24,1,11,13,6
2008-02-25,0,8,4,13
2008-02-26,0,12,4,13
2008-02-27,0,12,5,12
2008-02-28,0,10,4,13
2008-02-29,0,19,9,10
2008-03-01,0,13,5,13
2008-03-02,0,18,6,8
2008-03-03,0,14,3,14
2008-03-04,2,19,12,8
2008-03-05,2,18,10,9
2008-03-06,2,12,10,13
2008-03-07,2,13,13,6
2008-03-08,9,12,11,8
2008-03-09,7,12,11,10
2008-03-10,5,11,11,8
2008-03-11,4,18,17,5
2008-03-12,3,16,14,6
2008-03-13,4,13,10,7
2008-03-14,2,22,16,3
2008-03-15,6,15,10,8
2008-03-16,5,13,14,6
2008-03-17,1,18,12,5
2008-03-18,3,16,16,6
2008-03-19,5,10,9,8
2008-03-20,3,12,11,8
2008-03-21,7,17,18,3
2008-03-22,9,9,14,3
2008-03-23,9,9,15,9
2008-03-24,3,20,12,8
2008-03-25,6,16,16,5
2008-03-26,5,13,12,4
2008-03-27,0,12,12,8
2008-03-28,5,16,14,7
2008-03-29,7,11,17,4
2008-03-30,12,13,13,4
2008-03-31,3,12,13,7
2008-04-01,3,17,16,4
2008-04-02,3,16,10,6
2008-04-03,0,13,10,10
2008-04-04,4,11,14,6
2008-04-05,6,14,17,7
2008-04-06,3,16,24,3
2008-04-07,5,12,24,1
2008-04-08,8,18,24,0
2008-04-09,0,10,24,1
2008-04-10,7,11,24,1
2008-04-11,4,11,24,2
2008-04-12,12,18,24,1
2008-04-13,6,17,24,0
2008-04-14,0,12,24,1
2008-04-15,2,17,24,0
2008-04-16,2,13,24,3
2008-04-17,2,12,24,1
2008-04-18,5,17,24,1
2008-04-19,8,16,24,0
2008-04-20,2,15,24,1
2008-04-21,0,18,24,0
2008-04-22,3,20,24,0
2008-04-23,4,13,24,1
2008-04-24,2,14,24,1
2008-04-25,1,15,24,1
2008-04-26,0,15,24,1
2008-04-27,1,15,24,1
2008-04-28,0,16,24,0
2008-04-29,3,18,24,0
2008-04-30,3,14,24,1
2008-05-01,0,14,24,0
2008-05-02,4,13,24,2
2008-05-03,2,16,24,0
2008-05-04,3,18,24,0
2008-05-05,2,18,24,1
2008-05-06,2,20,24,0
2008-05-07,3,19,24,1
2008-05-08,8,19,24,1
2008-05-09,4,21,24,0
2008-05-10,9,20,24,0
2008-05-11,1,20,24,1
2008-05-12,5,19,24,0
2008-05-13,2,19,24,1
2008-05-14,5,19,24,0
2008-05-15,2,16,24,0
2008-05-16,5,20,24,0
2008-05-17,5,17,24,0
2008-05-18,4,19,24,0
2008-05-19,2,20,24,0
2008-05-20,3,16,24,0
2008-05-21,6,17,24,1
2008-05-22,3,15,24,0
2008-05-23,0,17,24,0
2008-05-24,3,18,24,0
2008-05-25,8,21,24,0
2008-05-26,3,20,24,0
2008-05-27,0,19,24,2
2008-05-28,6,16,24,0
2008-05-29,3,18,24,0
2008-05-30,0,20,24,0
2008-05-31,5,20,24,0
2008-06-01,5,17,24,1
2008-06-02,3,18,24,1
2008-06-03,7,17,24,0
2008-06-04,4,24,24,0
2008-06-05,4,16,24,0
2008-06-06,2,16,24,0
2008-06-07,5,19,24,0
2008-06-08,6,18,24,0
2008-06-09,6,21,24,0
2008-06-10,3,17,24,0
2008-06-11,4,20,24,0
2008-06-12,6,18,24,0
2008-06-13,5,19,24,0
2008-06-14,5,20,24,0
2008-06-15,7,20,24,0
2008-06-16,6,24,24,0
2008-06-17,2,20,24,0
2008-06-18,14,20,24,0
2008-06-19,8,20,24,0
2008-06-20,6,19,24,0
2008-06-21,2,21,24,0
2008-06-22,6,20,24,0
2008-06-23,8,21,24,0
2008-06-24,7,23,24,0
2008-06-25,9,19,24,0
2008-06-26,3,20,24,0
2008-06-27,8,21,24,0
2008-06-28,0,23,24,0
2008-06-29,3,18,24,0
2008-06-30,0,20,24,0
2008-07-01,6,20,24,0
2008-07-02,3,23,24,0
2008-07-03,3,21,24,0
2008-07-04,0,20,24,0
2008-07-05,6,22,24,0
2008-07-06,9,22,24,0
2008-07-07,5,21,24,0
2008-07-08,3,20,24,0
2008-07-09,3,18,24,0
2008-07-10,3,20,24,0
2008-07-11,3,21,24,0
2008-07-12,6,22,24,0
2008-07-13,5,20,24,0
2008-07-14,3,21,24,0
2008-07-15,2,18,24,0
2008-07-16,5,19,24,0
2008-07-17,2,22,24,0
2008-07-18,3,20,24,0
2008-07-19,6,23,24,0
2008-07-20,5,21,24,0
2008-07-21,4,24,24,0
2008-07-22,0,24,24,0
2008-07-23,3,21,24,0
2008-07-24,3,22,24,0
2008-07-25,3,22,24,0
2008-07-26,0,22,24,0
2008-07-27,3,22,24,0
2008-07-28,0,24,24,0
2008-07-29,4,22,24,0
2008-07-30,4,23,24,0
2008-07-31,3,24,24,0
2008-08-01,2,24,24,0
2008-08-02,0,24,24,0
2008-08-03,0,23,24,0
2008-08-04,1,23,24,0
2008-08-05,2,23,24,0
2008-08-06,0,23,24,0
2008-08-07,0,23,24,0
2008-08-08,0,22,24,0
2008-08-09,0,23,24,0
2008-08-10,0,22,24,0
2008-08-11,0,22,24,0
2008-08-12,0,21,24,0
2008-08-13,0,24,24,0
2008-08-14,0,16,24,0
2008-08-15,0,17,24,0
2008-08-16,0,20,24,0
2008-08-17,0,16,24,0
2008-08-18,0,16,24,0
2008-08-19,0,16,24,0
2008-08-20,0,21,24,0
2008-08-21,0,24,24,0
2008-08-22,0,19,24,0
2008-08-23,0,21,24,0
2008-08-24,0,21,24,0
2008-08-25,0,22,24,0
2008-08-26,0,20,24,0
2008-08-27,0,19,24,0
2008-08-28,0,21,24,0
2008-08-29,0,20,24,0
2008-08-30,0,21,24,0
2008-08-31,4,21,24,0
2008-09-01,3,23,24,0
2008-09-02,9,22,24,0
2008-09-03,3,24,24,0
2008-09-04,5,22,24,0
2008-09-05,1,19,24,0
2008-09-06,8,24,24,0
2008-09-07,8,22,24,0
2008-09-08,2,20,24,0
2008-09-09,1,22,24,0
2008-09-10,3,20,24,0
2008-09-11,3,21,24,0
2008-09-12,5,22,24,0
2008-09-13,3,23,24,0
2008-09-14,8,22,24,0
2008-09-15,3,20,24,1
2008-09-16,0,19,24,0
2008-09-17,3,22,24,0
2008-09-18,7,23,24,1
2008-09-19,4,16,24,1
2008-09-20,0,21,24,0
2008-09-21,9,20,24,0
2008-09-22,3,20,24,0
2008-09-23,0,22,24,1
2008-09-24,6,23,24,0
2008-09-25,3,24,24,0
2008-09-26,2,21,24,0
2008-09-27,7,22,24,1
2008-09-28,6,21,24,0
2008-09-29,3,22,24,0
2008-09-30,3,18,24,0
2008-10-01,5,19,24,0
2008-10-02,0,23,24,1
2008-10-03,8,20,24,0
2008-10-04,8,18,24,1
2008-10-05,3,23,24,2
2008-10-06,3,14,24,0
2008-10-07,3,19,24,0
2008-10-08,3,21,24,1
2008-10-09,3,20,24,2
2008-10-10,0,19,24,1
2008-10-11,7,20,24,0
2008-10-12,5,21,24,1
2008-10-13,3,21,24,1
2008-10-14,4,19,24,0
2008-10-15,5,22,24,0
2008-10-16,2,18,24,1
2008-10-17,6,15,24,0
2008-10-18,1,18,24,3
2008-10-19,1,20,24,1
2008-10-20,1,15,24,0
2008-10-21,2,19,24,0
2008-10-22,1,22,24,0
2008-10-23,2,15,24,1
2008-10-24,10,16,21,1
2008-10-25,2,13,16,4
2008-10-26,0,14,4,11
2008-10-27,0,19,4,10
2008-10-28,4,16,8,9
2008-10-29,3,15,6,17
2008-10-30,0,15,5,20
2008-10-31,0,13,13,6
2008-11-01,0,14,4,16
2008-11-02,0,15,5,19
2008-11-03,3,15,4,13
2008-11-04,0,16,8,8
2008-11-05,11,24,14,2
2008-11-06,3,19,9,8
2008-11-07,3,16,14,7
2008-11-08,3,18,9,7
2008-11-09,10,18,17,4
2008-11-10,3,16,14,9
2008-11-11,7,17,15,6
2008-11-12,3,18,12,10
2008-11-13,0,14,8,12
2008-11-14,5,16,12,9
2008-11-15,8,17,17,4
2008-11-16,10,20,13,9
2008-11-17,0,16,14,8
2008-11-18,3,15,16,4
2008-11-19,5,18,12,7
2008-11-20,3,17,10,9
2008-11-21,3,14,14,7
2008-11-22,3,17,13,7
2008-11-23,8,19,14,8
2008-11-24,3,19,16,8
2008-11-25,4,15,14,9
2008-11-26,2,14,12,8
2008-11-27,5,16,15,9
2008-11-28,3,14,13,9
2008-11-29,9,18,17,3
2008-11-30,3,15,14,8
2008-12-01,3,14,11,11
2008-12-02,0,14,15,6
2008-12-03,3,14,14,8
2008-12-04,3,14,15,6
2008-12-05,1,15,14,8
2008-12-06,7,18,12,10
2008-12-07,4,12,17,5
2008-12-08,3,13,15,7
2008-12-09,5,16,15,4
2008-12-10,2,20,16,6
2008-12-11,3,13,10,11
2008-12-12,3,10,16,6
2008-12-13,3,10,13,8
2008-12-14,7,16,11,10
2008-12-15,3,9,12,8
2008-12-16,0,11,13,10
2008-12-17,8,12,14,7
2008-12-18,3,12,13,7
2008-12-19,2,12,15,6
2008-12-20,3,19,16,5
2008-12-21,3,23,16,3
2008-12-22,4,17,14,7
2008-12-23,6,16,12,5
2008-12-24,0,16,13,9
2008-12-25,0,13,7,14
2008-12-26,4,12,12,10
2008-12-27,0,8,15,9
2008-12-28,5,9,8,9
2008-12-29,0,10,5,14
2008-12-30,0,10,10,11
2008-12-31,6,8,17,6
2009-01-01,1,14,5,14
2009-01-02,6,19,15,6
2009-01-03,12,10,14,7
2009-01-04,4,15,7,12
2009-01-05,3,8,10,10
2009-01-06,0,7,14,9
2009-01-07,6,15,11,9
2009-01-08,5,8,13,8
2009-01-09,3,9,12,8
2009-01-10,6,12,16,6
2009-01-11,8,18,11,6
2009-01-12,0,8,13,10
2009-01-13,3,8,17,6
2009-01-14,6,10,13,9
2009-01-15,5,9,11,6
2009-01-16,7,13,17,4
2009-01-17,5,19,19,5
2009-01-18,10,20,16,4
2009-01-19,3,16,12,7
2009-01-20,0,13,15,8
2009-01-21,3,14,11,5
2009-01-22,0,15,10,12
2009-01-23,5,12,14,8
2009-01-24,7,17,11,10
2009-01-25,7,16,14,10
2009-01-26,3,14,11,9
2009-01-27,2,12,9,11
2009-01-28,6,18,16,5
2009-01-29,0,13,11,10
2009-01-30,4,11,14,7
2009-01-31,11,17,16,4
2009-02-01,7,13,10,9
2009-02-02,3,9,12,9
2009-02-03,2,11,16,6
2009-02-04,2,15,17,7
2009-02-05,3,13,19,4
2009-02-06,3,9,17,7
2009-02-07,12,16,18,4
2009-02-08,8,9,16,4
2009-02-09,3,11,12,12
2009-02-10,3,14,14,7
2009-02-11,6,19,15,5
2009-02-12,3,13,18,5
2009-02-13,3,13,15,8
2009-02-14,3,14,19,5
2009-02-15,5,10,9,12
2009-02-16,0,10,10,11
2009-02-17,0,10,7,13
2009-02-18,0,11,9,8
2009-02-19,3,14,4,14
2009-02-20,3,13,14,7
2009-02-21,5,11,6,12
2009-02-22,7,15,11,6
2009-02-23,2,21,13,10
2009-02-24,0,20,17,6
2009-02-25,3,13,13,7
2009-02-26,0,12,9,11
2009-02-27,3,13,17,5
2009-02-28,3,16,12,5
2009-03-01,12,17,14,7
2009-03-02,2,15,10,12
2009-03-03,3,12,15,8
2009-03-04,6,15,10,7
2009-03-05,0,12,11,11
2009-03-06,3,12,16,7
2009-03-07,3,12,14,7
2009-03-08,11,19,14,8
2009-03-09,4,17,13,6
2009-03-10,0,11,13,9
2009-03-11,8,18,13,6
2009-03-12,0,15,15,6
2009-03-13,3,13,12,7
2009-03-14,6,11,19,3
2009-03-15,7,20,12,4
2009-03-16,0,12,10,9
2009-03-17,3,13,13,6
2009-03-18,3,16,15,5
2009-03-19,0,14,12,9
2009-03-20,2,15,13,8
2009-03-21,7,14,12,8
2009-03-22,5,16,13,9
2009-03-23,3,11,8,9
2009-03-24,2,12,14,6
2009-03-25,7,20,13,4
2009-03-26,0,15,11,10
2009-03-27,3,21,13,5
2009-03-28,8,14,15,9
2009-03-29,5,17,13,10
2009-03-30,3,13,11,9
2009-03-31,4,15,15,5
2009-04-01,5,17,9,11
2009-04-02,3,14,15,6
2009-04-03,0,15,14,9
2009-04-04,5,18,17,3
2009-04-05,8,14,11,7
2009-04-06,1,15,14,7
2009-04-07,3,15,13,7
2009-04-08,5,18,24,0
2009-04-09,4,15,24,1
2009-04-10,6,20,24,0
2009-04-11,4,21,24,0
2009-04-12,8,23,24,0
2009-04-13,3,21,24,0
2009-04-14,2,20,24,0
2009-04-15,4,17,24,0
2009-04-16,6,17,24,0
2009-04-17,0,17,24,4
2009-04-18,2,17,24,1
2009-04-19,4,16,24,0
2009-04-20,0,20,24,1
2009-04-21,4,15,24,3
2009-04-22,2,18,24,0
2009-04-23,3,14,24,0
2009-04-24,0,17,24,0
2009-04-25,6,20,24,0
2009-04-26,5,16,24,0
2009-04-27,3,16,24,1
2009-04-28,5,15,24,1
2009-04-29,3,16,24,1
2009-04-30,3,15,24,1
2009-05-01,3,16,24,0
2009-05-02,5,18,24,1
2009-05-03,6,19,24,0
2009-05-04,3,17,24,1
2009-05-05,3,18,24,0
2009-05-06,3,18,24,0
2009-05-07,0,16,24,0
2009-05-08,5,18,24,0
2009-05-09,4,18,24,1
2009-05-10,11,18,24,0
2009-05-11,3,24,24,0
2009-05-12,0,15,24,1
2009-05-13,2,17,24,0
2009-05-14,0,20,24,0
2009-05-15,3,16,24,1
2009-05-16,5,21,24,4
2009-05-17,5,22,24,0
2009-05-18,2,15,24,0
2009-05-19,5,19,24,0
2009-05-20,3,20,24,0
2009-05-21,5,17,24,0
2009-05-22,2,24,24,0
2009-05-23,4,24,24,0
2009-05-24,4,24,24,0
2009-05-25,3,22,24,0
2009-05-26,3,18,24,0
2009-05-27,3,15,24,0
2009-05-28,2,12,24,0
2009-05-29,3,12,24,0
2009-05-30,7,17,24,0
2009-05-31,4,24,24,0
2009-06-01,8,19,24,0
2009-06-02,0,21,24,0
2009-06-03,3,19,24,0
2009-06-04,6,13,24,0
2009-06-05,0,24,24,0
2009-06-06,5,22,24,0
2009-06-07,4,16,24,0
2009-06-08,3,17,24,0
2009-06-09,3,17,24,0
2009-06-10,2,17,24,0
2009-06-11,0,14,24,0
2009-06-12,3,13,24,0
2009-06-13,0,1,1,0
2009-06-14,0,0,0,0
2009-06-15,3,13,17,0
2009-06-16,10,14,24,0
2009-06-17,3,17,24,0
2009-06-18,0,16,24,0
2009-06-19,3,13,24,0
2009-06-20,0,21,24,0
2009-06-21,3,17,24,0
2009-06-22,0,17,24,0
2009-06-23,3,15,24,0
2009-06-24,5,21,24,0
2009-06-25,0,24,24,0
2009-06-26,5,23,24,0
2009-06-27,8,21,24,0
2009-06-28,0,19,24,0
2009-06-29,6,19,24,0
2009-06-30,2,21,24,0
